epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,462.707,0.54562,0.22699,0.00482,0.68155,0.62208,0.67774,0.60608,0.575,1.90021,0.01022,0.00998964,0.00332988,0.00998964,0.00332988,0.00998964,0.00332988,0.00998964,0.00332988
2,769.317,0.59222,0.25879,0.00534,0.66588,0.59307,0.6457,0.57015,0.59594,1.78829,0.01132,0.0198176,0.00660585,0.0198176,0.00660585,0.0198176,0.00660585,0.0198176,0.00660585
3,1041.1,0.65123,0.30478,0.00603,0.58494,0.58471,0.60104,0.50011,0.67057,1.57789,0.01296,0.0294733,0.00982443,0.0294733,0.00982443,0.0294733,0.00982443,0.0294733,0.00982443
4,1301.02,0.70944,0.3563,0.00662,0.5841,0.64716,0.66068,0.56791,0.62121,1.29531,0.01207,0.0292252,0.00974174,0.0292252,0.00974174,0.0292252,0.00974174,0.0292252,0.00974174
5,1561.63,0.718,0.36895,0.00675,0.61469,0.58544,0.59563,0.50643,0.63298,1.65984,0.01299,0.028967,0.00965565,0.028967,0.00965565,0.028967,0.00965565,0.028967,0.00965565
6,1821.26,0.72428,0.36974,0.00683,0.62012,0.57937,0.59935,0.52037,0.63184,1.82549,0.01228,0.0287087,0.00956957,0.0287087,0.00956957,0.0287087,0.00956957,0.0287087,0.00956957
7,2080.86,0.71996,0.36568,0.00677,0.60523,0.58997,0.63668,0.54542,0.63613,1.46913,0.01171,0.0284504,0.00948348,0.0284504,0.00948348,0.0284504,0.00948348,0.0284504,0.00948348
8,2341.34,0.71559,0.36124,0.00677,0.56446,0.62197,0.59244,0.49109,0.66499,1.5871,0.01298,0.0281922,0.00939739,0.0281922,0.00939739,0.0281922,0.00939739,0.0281922,0.00939739
9,2603.81,0.72095,0.36522,0.00674,0.54765,0.56751,0.57188,0.49236,0.60915,1.6126,0.01189,0.0279339,0.0093113,0.0279339,0.0093113,0.0279339,0.0093113,0.0279339,0.0093113
10,2864.49,0.71064,0.35385,0.00673,0.57812,0.57545,0.61852,0.52328,0.6774,1.6444,0.01314,0.0276757,0.00922522,0.0276757,0.00922522,0.0276757,0.00922522,0.0276757,0.00922522
11,3126.19,0.71175,0.35061,0.00663,0.62385,0.64025,0.63879,0.56227,0.62233,1.58238,0.0116,0.0274174,0.00913913,0.0274174,0.00913913,0.0274174,0.00913913,0.0274174,0.00913913
12,3387.27,0.70457,0.34776,0.00655,0.57561,0.56497,0.58898,0.5165,0.61043,1.67068,0.01148,0.0271591,0.00905304,0.0271591,0.00905304,0.0271591,0.00905304,0.0271591,0.00905304
13,3987.32,0.70976,0.35376,0.00661,0.62695,0.59013,0.6314,0.54454,0.6286,1.57543,0.01223,0.0269009,0.00896696,0.0269009,0.00896696,0.0269009,0.00896696,0.0269009,0.00896696
14,4245.7,0.7075,0.34283,0.00657,0.54117,0.59991,0.5725,0.48348,0.6619,1.82784,0.01211,0.0266426,0.00888087,0.0266426,0.00888087,0.0266426,0.00888087,0.0266426,0.00888087
15,4526.76,0.70094,0.34349,0.00646,0.60706,0.61039,0.64508,0.56344,0.61501,1.56388,0.01175,0.0263843,0.00879478,0.0263843,0.00879478,0.0263843,0.00879478,0.0263843,0.00879478
16,4805.1,0.70101,0.34226,0.0066,0.67619,0.63469,0.66512,0.57996,0.62077,1.51536,0.0118,0.0261261,0.0087087,0.0261261,0.0087087,0.0261261,0.0087087,0.0261261,0.0087087
17,5085.12,0.70118,0.33668,0.00654,0.59771,0.60274,0.58537,0.50214,0.61689,1.61521,0.01145,0.0258678,0.00862261,0.0258678,0.00862261,0.0258678,0.00862261,0.0258678,0.00862261
18,5363.58,0.70074,0.33504,0.00655,0.56821,0.64294,0.58564,0.49985,0.63584,1.99087,0.01252,0.0256096,0.00853652,0.0256096,0.00853652,0.0256096,0.00853652,0.0256096,0.00853652
19,5642.47,0.69752,0.33554,0.00647,0.57488,0.63185,0.61165,0.53183,0.60559,1.46794,0.01097,0.0253513,0.00845043,0.0253513,0.00845043,0.0253513,0.00845043,0.0253513,0.00845043
20,5921.58,0.69475,0.3369,0.00645,0.61596,0.60347,0.60916,0.54105,0.57726,1.65607,0.01057,0.025093,0.00836435,0.025093,0.00836435,0.025093,0.00836435,0.025093,0.00836435
21,6203.1,0.69605,0.33905,0.00643,0.60926,0.57157,0.58316,0.50859,0.58595,1.65526,0.0115,0.0248348,0.00827826,0.0248348,0.00827826,0.0248348,0.00827826,0.0248348,0.00827826
22,6482.9,0.69575,0.33542,0.00645,0.66284,0.61714,0.62398,0.55148,0.62377,1.6152,0.01196,0.0245765,0.00819217,0.0245765,0.00819217,0.0245765,0.00819217,0.0245765,0.00819217
23,6763.1,0.6926,0.32906,0.00643,0.60928,0.57934,0.57962,0.49745,0.62296,1.85111,0.01232,0.0243183,0.00810609,0.0243183,0.00810609,0.0243183,0.00810609,0.0243183,0.00810609
24,7040.26,0.69423,0.33123,0.00645,0.61175,0.59433,0.62593,0.55208,0.59159,1.49655,0.01115,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
25,7319.57,0.6887,0.32762,0.0064,0.67653,0.5847,0.64822,0.56802,0.60894,1.58428,0.01142,0.0238017,0.00793391,0.0238017,0.00793391,0.0238017,0.00793391,0.0238017,0.00793391
26,7598.32,0.68693,0.32467,0.0063,0.67676,0.62988,0.68967,0.60906,0.59205,1.47588,0.01093,0.0235435,0.00784783,0.0235435,0.00784783,0.0235435,0.00784783,0.0235435,0.00784783
27,7877.88,0.68575,0.32089,0.00629,0.68777,0.63083,0.67048,0.59356,0.58897,1.49228,0.01072,0.0232852,0.00776174,0.0232852,0.00776174,0.0232852,0.00776174,0.0232852,0.00776174
28,8156.23,0.68641,0.32553,0.00628,0.67423,0.62811,0.67585,0.59417,0.59581,1.50706,0.01086,0.023027,0.00767565,0.023027,0.00767565,0.023027,0.00767565,0.023027,0.00767565
29,8434.53,0.67696,0.32026,0.00624,0.58873,0.60379,0.61344,0.54071,0.59498,1.83898,0.01031,0.0227687,0.00758957,0.0227687,0.00758957,0.0227687,0.00758957,0.0227687,0.00758957
30,8712.23,0.67165,0.31475,0.00617,0.61714,0.60895,0.63065,0.55407,0.60227,1.66852,0.01057,0.0225104,0.00750348,0.0225104,0.00750348,0.0225104,0.00750348,0.0225104,0.00750348
31,8991.62,0.67492,0.31198,0.00622,0.58586,0.65244,0.64913,0.56593,0.59069,1.38552,0.01111,0.0222522,0.00741739,0.0222522,0.00741739,0.0222522,0.00741739,0.0222522,0.00741739
32,9269.56,0.67837,0.31847,0.00623,0.61899,0.66064,0.68002,0.59909,0.61118,1.41269,0.01142,0.0219939,0.0073313,0.0219939,0.0073313,0.0219939,0.0073313,0.0219939,0.0073313
33,9547.85,0.67077,0.30839,0.00616,0.68083,0.61912,0.66811,0.59313,0.59295,1.51568,0.01036,0.0217357,0.00724522,0.0217357,0.00724522,0.0217357,0.00724522,0.0217357,0.00724522
34,9826.54,0.67409,0.31211,0.00619,0.65063,0.62386,0.66143,0.58735,0.5882,1.56778,0.01041,0.0214774,0.00715913,0.0214774,0.00715913,0.0214774,0.00715913,0.0214774,0.00715913
35,10106.1,0.66967,0.31235,0.00611,0.65533,0.60806,0.63903,0.56395,0.61854,1.59494,0.01087,0.0212191,0.00707304,0.0212191,0.00707304,0.0212191,0.00707304,0.0212191,0.00707304
36,10385.2,0.66085,0.30275,0.00611,0.60329,0.62788,0.61194,0.54302,0.59213,1.72608,0.01077,0.0209609,0.00698696,0.0209609,0.00698696,0.0209609,0.00698696,0.0209609,0.00698696
37,10663.4,0.66482,0.30794,0.00608,0.60991,0.6438,0.62189,0.54552,0.57921,1.59801,0.01024,0.0207026,0.00690087,0.0207026,0.00690087,0.0207026,0.00690087,0.0207026,0.00690087
38,10941.9,0.65942,0.30553,0.00605,0.63132,0.62064,0.63485,0.55534,0.57344,1.63169,0.01067,0.0204443,0.00681478,0.0204443,0.00681478,0.0204443,0.00681478,0.0204443,0.00681478
39,11218.9,0.66038,0.30524,0.00602,0.65628,0.60165,0.63805,0.56419,0.56179,1.6661,0.01049,0.0201861,0.0067287,0.0201861,0.0067287,0.0201861,0.0067287,0.0201861,0.0067287
40,11497.1,0.65546,0.29533,0.00597,0.6152,0.63726,0.63565,0.56952,0.56511,1.6955,0.01046,0.0199278,0.00664261,0.0199278,0.00664261,0.0199278,0.00664261,0.0199278,0.00664261
41,11775.9,0.65345,0.2979,0.00597,0.62646,0.60727,0.62579,0.56555,0.55297,1.79202,0.00983,0.0196696,0.00655652,0.0196696,0.00655652,0.0196696,0.00655652,0.0196696,0.00655652
42,12056,0.65101,0.29501,0.00589,0.60998,0.61443,0.61251,0.54347,0.56746,1.82756,0.01019,0.0194113,0.00647043,0.0194113,0.00647043,0.0194113,0.00647043,0.0194113,0.00647043
43,12336.4,0.65381,0.29639,0.00596,0.63953,0.64092,0.64356,0.57709,0.55146,1.63699,0.00984,0.019153,0.00638435,0.019153,0.00638435,0.019153,0.00638435,0.019153,0.00638435
