epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,8161.68,0.64378,0.29409,0.00588,0.62497,0.63007,0.67165,0.60208,0.55248,1.51307,0.01003,0.0225104,0.00750348,0.0225104,0.00750348,0.0225104,0.00750348,0.0225104,0.00750348
31,8424.41,0.64102,0.29285,0.00586,0.59529,0.61595,0.63919,0.56797,0.55792,1.47762,0.01042,0.0222522,0.00741739,0.0222522,0.00741739,0.0222522,0.00741739,0.0222522,0.00741739
32,8688.43,0.64821,0.29999,0.00589,0.58562,0.64302,0.63105,0.56529,0.5692,1.63779,0.01089,0.0219939,0.0073313,0.0219939,0.0073313,0.0219939,0.0073313,0.0219939,0.0073313
33,8953.94,0.63759,0.28855,0.00583,0.63117,0.5893,0.61573,0.5497,0.56937,1.68477,0.01067,0.0217357,0.00724522,0.0217357,0.00724522,0.0217357,0.00724522,0.0217357,0.00724522
34,9217.93,0.64634,0.29441,0.00593,0.60021,0.61253,0.62958,0.56217,0.57646,1.65744,0.01109,0.0214774,0.00715913,0.0214774,0.00715913,0.0214774,0.00715913,0.0214774,0.00715913
35,9483.6,0.64148,0.28995,0.00585,0.61134,0.59786,0.61555,0.53874,0.56903,1.66759,0.01035,0.0212191,0.00707304,0.0212191,0.00707304,0.0212191,0.00707304,0.0212191,0.00707304
36,9748.37,0.62772,0.28821,0.00574,0.6343,0.61611,0.63606,0.576,0.54824,1.59183,0.01001,0.0209609,0.00698696,0.0209609,0.00698696,0.0209609,0.00698696,0.0209609,0.00698696
37,10011.9,0.63849,0.30176,0.00583,0.60771,0.6407,0.64606,0.56059,0.6142,1.60792,0.01264,0.0207026,0.00690087,0.0207026,0.00690087,0.0207026,0.00690087,0.0207026,0.00690087
38,10276.1,0.63553,0.28948,0.00584,0.6992,0.60743,0.67683,0.59196,0.5851,1.50854,0.0118,0.0204443,0.00681478,0.0204443,0.00681478,0.0204443,0.00681478,0.0204443,0.00681478
39,10541.6,0.63298,0.28765,0.00579,0.6277,0.61684,0.63718,0.56068,0.59138,1.5838,0.01208,0.0201861,0.0067287,0.0201861,0.0067287,0.0201861,0.0067287,0.0201861,0.0067287
40,10807.4,0.6296,0.28051,0.00573,0.63193,0.60644,0.63689,0.56442,0.56321,1.73624,0.0109,0.0199278,0.00664261,0.0199278,0.00664261,0.0199278,0.00664261,0.0199278,0.00664261
41,11072.3,0.6277,0.28613,0.00574,0.62249,0.64231,0.66609,0.59539,0.55221,1.66744,0.01024,0.0196696,0.00655652,0.0196696,0.00655652,0.0196696,0.00655652,0.0196696,0.00655652
42,11337.1,0.62733,0.28133,0.00568,0.63344,0.63984,0.64347,0.56759,0.56827,1.626,0.01084,0.0194113,0.00647043,0.0194113,0.00647043,0.0194113,0.00647043,0.0194113,0.00647043
43,11601.6,0.62776,0.28294,0.00572,0.61442,0.623,0.64737,0.5763,0.55015,1.60911,0.0101,0.019153,0.00638435,0.019153,0.00638435,0.019153,0.00638435,0.019153,0.00638435
44,11865.2,0.61946,0.2804,0.00559,0.62168,0.60311,0.63205,0.55968,0.5732,1.65744,0.01073,0.0188948,0.00629826,0.0188948,0.00629826,0.0188948,0.00629826,0.0188948,0.00629826
