epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,526.611,0.66396,0.30285,0.00588,0.59549,0.62176,0.63239,0.54999,0.61131,1.66119,0.01246,0.00998494,0.00332831,0.00998494,0.00332831,0.00998494,0.00332831,0.00998494,0.00332831
2,939.107,0.70001,0.33107,0.00635,0.60993,0.62612,0.62079,0.52018,0.72257,1.6522,0.01319,0.019781,0.00659366,0.019781,0.00659366,0.019781,0.00659366,0.019781,0.00659366
3,1324.85,0.7754,0.39443,0.00718,0.54801,0.59928,0.56384,0.47022,0.69961,1.51345,0.01501,0.0293729,0.00979096,0.0293729,0.00979096,0.0293729,0.00979096,0.0293729,0.00979096
4,1700.37,0.83333,0.46263,0.00782,0.62707,0.59464,0.62696,0.51444,0.75096,1.29748,0.01497,0.0290814,0.00969381,0.0290814,0.00969381,0.0290814,0.00969381,0.0290814,0.00969381
5,2076.1,0.83516,0.45838,0.00784,0.54006,0.51455,0.49648,0.3992,0.78485,1.67373,0.01659,0.0287753,0.00959175,0.0287753,0.00959175,0.0287753,0.00959175,0.0287753,0.00959175
6,2451.18,0.83071,0.4496,0.00777,0.49473,0.64502,0.5964,0.47167,0.80397,1.35422,0.01821,0.0284691,0.00948969,0.0284691,0.00948969,0.0284691,0.00948969,0.0284691,0.00948969
7,2825.84,0.82153,0.44908,0.00774,0.62341,0.591,0.61915,0.52386,0.67592,1.3125,0.01306,0.0281629,0.00938763,0.0281629,0.00938763,0.0281629,0.00938763,0.0281629,0.00938763
8,3200.7,0.82703,0.44422,0.00776,0.57761,0.61175,0.62429,0.51302,0.73548,1.44221,0.01528,0.0278567,0.00928557,0.0278567,0.00928557,0.0278567,0.00928557,0.0278567,0.00928557
9,3577.28,0.81764,0.44054,0.00769,0.60321,0.59924,0.59538,0.49099,0.68002,1.58864,0.01439,0.0275505,0.00918351,0.0275505,0.00918351,0.0275505,0.00918351,0.0275505,0.00918351
10,3951.58,0.813,0.42797,0.00752,0.66567,0.64742,0.6833,0.57133,0.69381,1.371,0.01319,0.0272443,0.00908144,0.0272443,0.00908144,0.0272443,0.00908144,0.0272443,0.00908144
11,4325.28,0.80375,0.42463,0.00754,0.58155,0.64268,0.64829,0.54146,0.69001,1.3922,0.01464,0.0269381,0.00897938,0.0269381,0.00897938,0.0269381,0.00897938,0.0269381,0.00897938
