epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1258.67,0.74964,0.43366,0.00825,0.66989,0.6674,0.69419,0.57227,0.71686,1.48551,0.01693,0.000237955,0.000237955,0.000237955
2,2447.16,0.80135,0.50459,0.0092,0.61956,0.64238,0.63195,0.5195,0.68126,1.83995,0.01719,0.000460249,0.000460249,0.000460249
3,3622.41,0.82507,0.53093,0.00958,0.72334,0.68742,0.70752,0.57709,0.73628,1.14433,0.01684,0.000666834,0.000666834,0.000666834
4,4792.89,0.83245,0.54709,0.00966,0.68393,0.64939,0.68803,0.56155,0.68176,1.13832,0.01559,0.000643314,0.000643314,0.000643314
5,5957.96,0.81669,0.52636,0.00948,0.70617,0.69284,0.7169,0.578,0.74461,1.28643,0.01806,0.000619752,0.000619752,0.000619752
6,7123.86,0.81215,0.50989,0.00929,0.71146,0.62231,0.70592,0.58762,0.65734,1.37454,0.01487,0.00059619,0.00059619,0.00059619
7,8283.52,0.79655,0.48639,0.00911,0.71264,0.67892,0.72033,0.61453,0.60818,1.1828,0.01301,0.000572628,0.000572628,0.000572628
8,9449.89,0.78596,0.47438,0.00897,0.68978,0.70545,0.72182,0.60388,0.67886,1.24623,0.01535,0.000549066,0.000549066,0.000549066
9,10613.4,0.77369,0.45834,0.00877,0.67086,0.66058,0.68474,0.56357,0.7133,1.15068,0.01735,0.000525504,0.000525504,0.000525504
10,11778.3,0.76782,0.44805,0.00864,0.67499,0.68596,0.70783,0.60218,0.64862,1.33725,0.01362,0.000501942,0.000501942,0.000501942
11,12942.4,0.75773,0.43133,0.00847,0.69756,0.71748,0.70736,0.60485,0.66523,1.36468,0.0148,0.00047838,0.00047838,0.00047838
12,14109,0.7416,0.41173,0.00835,0.67903,0.72839,0.74158,0.62293,0.66965,1.17697,0.01495,0.000454818,0.000454818,0.000454818
13,15278.8,0.73281,0.40557,0.00816,0.723,0.72027,0.75308,0.64374,0.61636,1.23259,0.01269,0.000431256,0.000431256,0.000431256
14,16443.7,0.71764,0.38952,0.0079,0.74108,0.71374,0.75474,0.64105,0.65623,1.33819,0.01255,0.000407694,0.000407694,0.000407694
15,17613.5,0.71093,0.37702,0.00777,0.6409,0.69947,0.69201,0.58654,0.64752,1.29391,0.01389,0.000384132,0.000384132,0.000384132
16,18773.2,0.69655,0.37262,0.00757,0.71412,0.73953,0.7506,0.65334,0.61485,1.25821,0.0126,0.00036057,0.00036057,0.00036057
17,19941.6,0.69081,0.3674,0.00752,0.73152,0.72815,0.74466,0.65339,0.60016,1.21622,0.01197,0.000337008,0.000337008,0.000337008
18,21111.5,0.68898,0.35138,0.00745,0.64158,0.71471,0.69773,0.61215,0.61542,1.37544,0.01276,0.000313446,0.000313446,0.000313446
19,22275,0.67143,0.3369,0.00712,0.70856,0.76557,0.76014,0.67071,0.57389,1.16567,0.0113,0.000289884,0.000289884,0.000289884
20,23437.8,0.65638,0.33509,0.00701,0.74064,0.75055,0.75555,0.66235,0.58319,1.28919,0.01161,0.000266322,0.000266322,0.000266322
21,24644.4,0.5804,0.23493,0.00857,0.75474,0.72208,0.75574,0.66631,0.58564,1.18946,0.01168,0.00024276,0.00024276,0.00024276
22,25809.6,0.56287,0.22108,0.00814,0.66032,0.70018,0.70443,0.62535,0.57394,1.30245,0.01107,0.000219198,0.000219198,0.000219198
23,26972.3,0.55275,0.21312,0.00787,0.71563,0.71479,0.72235,0.64028,0.57512,1.28814,0.01101,0.000195636,0.000195636,0.000195636
24,28135.6,0.53542,0.19975,0.00752,0.69318,0.72328,0.73486,0.65941,0.55169,1.4078,0.01085,0.000172074,0.000172074,0.000172074
25,29301.2,0.52855,0.19284,0.00736,0.66677,0.72504,0.70526,0.63231,0.53159,1.44921,0.00994,0.000148512,0.000148512,0.000148512
26,30463.8,0.5235,0.19291,0.00722,0.68984,0.69849,0.69822,0.62087,0.55149,1.42508,0.01019,0.00012495,0.00012495,0.00012495
27,31630.1,0.51505,0.18655,0.00699,0.70076,0.73285,0.72788,0.65492,0.53379,1.34734,0.00988,0.000101388,0.000101388,0.000101388
28,32792.9,0.50577,0.18117,0.00686,0.70139,0.72287,0.73452,0.66106,0.53789,1.3821,0.0099,7.7826e-05,7.7826e-05,7.7826e-05
29,33964.3,0.50174,0.17887,0.00685,0.69145,0.72219,0.72956,0.6586,0.53328,1.41596,0.00983,5.4264e-05,5.4264e-05,5.4264e-05
30,35125.1,0.49719,0.17617,0.00669,0.69202,0.7466,0.74036,0.66755,0.53565,1.3376,0.00986,3.0702e-05,3.0702e-05,3.0702e-05
