epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1078,0.76932,0.30587,0.01089,0.4668,0.5487,0.47497,0.36241,0.81612,2.06525,0.02115,0.000237821,0.000237821,0.000237821
2,2940.87,0.87083,0.39176,0.01282,0.42494,0.62505,0.5452,0.39227,1.00535,1.49505,0.02791,0.000428714,0.000428714,0.000428714
3,3856.8,0.90158,0.41433,0.01367,0.4886,0.54436,0.44802,0.32371,1.04776,1.96567,0.03031,0.000572484,0.000572484,0.000572484
4,4882.29,0.90295,0.40493,0.0137,0.53527,0.56011,0.52734,0.36925,1.074,1.77253,0.03134,0.000501942,0.000501942,0.000501942
5,6002.95,0.85689,0.36944,0.0127,0.57909,0.54972,0.5578,0.43392,0.87997,1.35736,0.02207,0.000431256,0.000431256,0.000431256
