epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1395.75,1.12473,1.80852,0.0145,0.36956,0.52609,0.38758,0.28676,0.88608,1.74595,0.02511,0.000237955,0.000237955,0.000237955
2,2676.83,1.13127,1.14315,0.01491,0.35324,0.53612,0.41544,0.2949,0.945,1.55057,0.0277,0.000460249,0.000460249,0.000460249
3,3934.84,1.11126,1.03388,0.01425,0.52061,0.49215,0.45409,0.32512,0.86362,1.56699,0.02288,0.000666834,0.000666834,0.000666834
4,5117.4,1.07989,0.95805,0.01349,0.43133,0.47078,0.43284,0.32195,0.87769,1.55869,0.02492,0.000643314,0.000643314,0.000643314
5,6294.27,1.0499,0.87065,0.01303,0.44676,0.57373,0.47076,0.35277,0.78359,1.71868,0.01914,0.000619752,0.000619752,0.000619752
6,7479.52,1.0245,0.82143,0.0124,0.5278,0.61103,0.52788,0.39757,0.97829,1.53007,0.02883,0.00059619,0.00059619,0.00059619
7,8665.67,0.98535,0.76068,0.01184,0.55153,0.65269,0.60097,0.47829,0.69204,1.36016,0.01622,0.000572628,0.000572628,0.000572628
8,9847.05,0.95379,0.72292,0.01145,0.57206,0.58132,0.58721,0.44169,0.81982,1.64792,0.02184,0.000549066,0.000549066,0.000549066
9,11023.4,0.92026,0.68939,0.01094,0.55815,0.70019,0.64221,0.52577,0.68118,1.10559,0.01494,0.000525504,0.000525504,0.000525504
10,12201.3,0.9104,0.64081,0.01065,0.62627,0.6759,0.64671,0.5107,0.73705,1.24046,0.01861,0.000501942,0.000501942,0.000501942
11,13374.7,0.88623,0.61306,0.01021,0.58784,0.63665,0.62191,0.50766,0.72328,1.26052,0.01746,0.00047838,0.00047838,0.00047838
12,14548.2,0.86798,0.58033,0.01009,0.64687,0.64905,0.68076,0.56311,0.68436,1.18397,0.01562,0.000454818,0.000454818,0.000454818
13,15720.7,0.85138,0.56249,0.00975,0.60658,0.67598,0.63892,0.52837,0.64206,1.39511,0.0135,0.000431256,0.000431256,0.000431256
14,16896.7,0.83206,0.53379,0.00941,0.69018,0.70872,0.72953,0.59047,0.7048,1.15275,0.01544,0.000407694,0.000407694,0.000407694
15,18069.7,0.8236,0.51193,0.00928,0.59622,0.68077,0.65743,0.55411,0.68361,1.31777,0.01484,0.000384132,0.000384132,0.000384132
16,19243.8,0.80752,0.49346,0.00902,0.7376,0.67481,0.69786,0.58583,0.66397,1.25428,0.0147,0.00036057,0.00036057,0.00036057
17,20417.4,0.79644,0.47885,0.0089,0.66816,0.68472,0.69751,0.58711,0.68318,1.48625,0.01554,0.000337008,0.000337008,0.000337008
18,21590.7,0.79028,0.45516,0.00867,0.70802,0.69172,0.71698,0.60924,0.63442,1.27866,0.01378,0.000313446,0.000313446,0.000313446
19,22768.7,0.76818,0.42973,0.00832,0.72556,0.73487,0.74456,0.64852,0.59528,1.13902,0.01225,0.000289884,0.000289884,0.000289884
20,23950.8,0.75128,0.4225,0.00817,0.71686,0.7307,0.76013,0.66186,0.60261,1.24023,0.01222,0.000266322,0.000266322,0.000266322
21,25160.6,0.66076,0.29953,0.01002,0.72813,0.67376,0.71827,0.62562,0.61273,1.27276,0.01277,0.00024276,0.00024276,0.00024276
22,26333.8,0.64096,0.28514,0.00954,0.72686,0.67199,0.74195,0.64529,0.61991,1.16335,0.01256,0.000219198,0.000219198,0.000219198
23,27504.6,0.62556,0.26636,0.00908,0.69697,0.71148,0.7275,0.64588,0.5857,1.2738,0.01145,0.000195636,0.000195636,0.000195636
24,28675.9,0.61043,0.25119,0.00883,0.72406,0.6993,0.75549,0.6694,0.5833,1.22177,0.01181,0.000172074,0.000172074,0.000172074
25,29848.1,0.5975,0.23763,0.00854,0.7461,0.68226,0.73576,0.65646,0.56263,1.25175,0.01116,0.000148512,0.000148512,0.000148512
26,31021.7,0.58771,0.23255,0.00829,0.72297,0.68604,0.71815,0.6432,0.57066,1.39658,0.01116,0.00012495,0.00012495,0.00012495
27,32194.1,0.57309,0.21989,0.00793,0.72868,0.68179,0.71785,0.6461,0.55921,1.37976,0.01076,0.000101388,0.000101388,0.000101388
28,33361.9,0.55797,0.21197,0.00766,0.716,0.68773,0.71721,0.64614,0.55782,1.4521,0.01061,7.7826e-05,7.7826e-05,7.7826e-05
29,34536.9,0.55365,0.20571,0.00762,0.7213,0.70013,0.72678,0.65774,0.55349,1.40235,0.0106,5.4264e-05,5.4264e-05,5.4264e-05
30,35709.3,0.54747,0.20537,0.00744,0.73829,0.68386,0.73033,0.65704,0.55403,1.42947,0.01053,3.0702e-05,3.0702e-05,3.0702e-05
