epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,558.587,0.7286,0.29015,0.00781,0.5812,0.60961,0.60359,0.50072,0.66488,1.51784,0.01111,0.000237642,0.000237642,0.000237642
2,978.367,0.79706,0.34594,0.00895,0.53076,0.60043,0.5959,0.48226,0.72019,1.38095,0.0139,0.000428553,0.000428553,0.000428553
3,1415.68,0.80745,0.376,0.00922,0.56034,0.6379,0.63452,0.5238,0.75865,1.32326,0.01406,0.000572341,0.000572341,0.000572341
4,1856.79,0.80574,0.35229,0.00921,0.62184,0.58594,0.6438,0.54469,0.63741,1.27451,0.01131,0.000501942,0.000501942,0.000501942
5,2299.11,0.78258,0.32177,0.00877,0.55454,0.6345,0.6199,0.52614,0.62447,1.27335,0.01104,0.000431256,0.000431256,0.000431256
6,2761.49,0.74321,0.29577,0.00822,0.61674,0.57728,0.63846,0.55203,0.61121,1.54478,0.01109,0.00036057,0.00036057,0.00036057
7,3434.64,0.71509,0.27502,0.00784,0.6493,0.58202,0.6431,0.56352,0.57829,1.34946,0.00951,0.000289884,0.000289884,0.000289884
8,4129.32,0.68791,0.25902,0.00745,0.68874,0.57028,0.66341,0.57793,0.60527,1.3846,0.0102,0.000219198,0.000219198,0.000219198
9,4781.96,0.66611,0.24543,0.00714,0.59851,0.62345,0.64034,0.5629,0.57298,1.41266,0.00961,0.000148512,0.000148512,0.000148512
10,5409.2,0.65188,0.23963,0.0069,0.67708,0.59319,0.6547,0.57892,0.57222,1.42877,0.00943,7.7826e-05,7.7826e-05,7.7826e-05
