epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,410.48,0.8422,0.55034,0.00784,0.63224,0.65584,0.68522,0.58155,0.6826,1.12278,0.014,0.000237642,0.000237642,0.000237642
2,767.788,0.81041,0.477,0.0077,0.62028,0.62275,0.63876,0.52817,0.68351,1.4283,0.01379,0.000466224,0.000466224,0.000466224
3,1105.65,0.82748,0.48134,0.00784,0.63835,0.6012,0.64796,0.52794,0.73014,1.25928,0.01652,0.000685381,0.000685381,0.000685381
4,1432.68,0.82836,0.48013,0.00784,0.55451,0.62288,0.605,0.49314,0.69567,1.40808,0.01458,0.000671588,0.000671588,0.000671588
5,1773.48,0.82132,0.46847,0.00778,0.55788,0.58378,0.62643,0.5314,0.69091,1.56684,0.01381,0.000657451,0.000657451,0.000657451
6,2104.05,0.81082,0.45831,0.00762,0.64821,0.63963,0.69458,0.58517,0.73809,1.23622,0.01393,0.000643314,0.000643314,0.000643314
7,2430.01,0.80791,0.45133,0.00768,0.67795,0.62104,0.68659,0.58301,0.6546,1.21115,0.0135,0.000629177,0.000629177,0.000629177
8,2752.17,0.80324,0.43818,0.00757,0.63853,0.58666,0.64152,0.5498,0.63731,1.26013,0.01247,0.00061504,0.00061504,0.00061504
9,3073.35,0.79063,0.43193,0.00748,0.62316,0.5918,0.62856,0.52378,0.67927,1.36874,0.01316,0.000600902,0.000600902,0.000600902
10,3393.58,0.78963,0.41841,0.00731,0.62799,0.65776,0.67407,0.57033,0.68533,1.25767,0.01321,0.000586765,0.000586765,0.000586765
11,3715.3,0.77666,0.41716,0.00729,0.60204,0.68202,0.69115,0.58123,0.67083,1.42696,0.01304,0.000572628,0.000572628,0.000572628
12,4036.7,0.77773,0.40889,0.00727,0.62428,0.65893,0.68603,0.58072,0.64298,1.23258,0.01301,0.000558491,0.000558491,0.000558491
13,4362.25,0.76405,0.39784,0.00715,0.6871,0.70627,0.73674,0.61809,0.70005,1.21725,0.01307,0.000544354,0.000544354,0.000544354
14,4682.76,0.75515,0.38535,0.00699,0.59596,0.61282,0.63829,0.54466,0.65098,1.47257,0.01237,0.000530216,0.000530216,0.000530216
15,5003.89,0.75016,0.38249,0.00689,0.63345,0.6324,0.68422,0.59367,0.60919,1.26465,0.01176,0.000516079,0.000516079,0.000516079
16,5325.35,0.7516,0.37593,0.00695,0.68051,0.6526,0.7166,0.60071,0.66015,1.16527,0.01338,0.000501942,0.000501942,0.000501942
17,5648.32,0.74185,0.37458,0.00687,0.63919,0.58414,0.63376,0.54711,0.63961,1.40242,0.01234,0.000487805,0.000487805,0.000487805
18,5970.33,0.73543,0.36071,0.00674,0.66782,0.63941,0.69461,0.60318,0.61491,1.39938,0.01128,0.000473668,0.000473668,0.000473668
19,6295.54,0.72474,0.35438,0.00665,0.65549,0.63944,0.69164,0.60004,0.59793,1.29508,0.01122,0.00045953,0.00045953,0.00045953
20,6620.73,0.72207,0.35211,0.00667,0.63266,0.63712,0.67831,0.58599,0.62082,1.41158,0.0113,0.000445393,0.000445393,0.000445393
21,6944.84,0.71697,0.3498,0.0066,0.6343,0.64585,0.67828,0.60245,0.59707,1.46195,0.01091,0.000431256,0.000431256,0.000431256
22,7329.35,0.7091,0.33981,0.00654,0.63528,0.62433,0.67779,0.59662,0.57265,1.42738,0.01086,0.000417119,0.000417119,0.000417119
23,7656.13,0.70529,0.34084,0.00647,0.65846,0.63275,0.67836,0.6005,0.6,1.46195,0.01098,0.000402982,0.000402982,0.000402982
24,7980.18,0.70079,0.33376,0.00639,0.70497,0.63451,0.70313,0.61987,0.58029,1.18819,0.01052,0.000388844,0.000388844,0.000388844
25,8303.53,0.69866,0.32685,0.00635,0.65604,0.6514,0.68515,0.60994,0.57497,1.41571,0.01008,0.000374707,0.000374707,0.000374707
26,8626.92,0.69033,0.32487,0.00621,0.69327,0.62268,0.69628,0.62128,0.56603,1.2935,0.00989,0.00036057,0.00036057,0.00036057
27,8974.54,0.69248,0.31689,0.00629,0.65502,0.65337,0.69419,0.61429,0.58244,1.37421,0.01032,0.000346433,0.000346433,0.000346433
28,9334.13,0.68662,0.31764,0.00614,0.68179,0.62951,0.69313,0.62246,0.55734,1.28511,0.00966,0.000332296,0.000332296,0.000332296
